"Index","Original","Saved","Bytes"
"1","image1.png","slide01.png","197997"
"2","image2.png","slide02.png","462017"
"3","image3.png","slide03.png","498875"
"4","image4.jpeg","slide04.jpg","106038"
"5","image5.jpeg","slide05.jpg","126901"
"6","image6.jpeg","slide06.jpg","135535"
"7","image7.png","slide07.png","329118"
"8","image8.jpeg","slide08.jpg","124954"
"9","image9.jpeg","slide09.jpg","80057"
"10","image10.jpeg","slide10.jpg","115499"
"11","image11.jpeg","slide11.jpg","45269"
"12","image12.jpeg","slide12.jpg","135597"
"13","image13.jpeg","slide13.jpg","95532"
"14","image14.jpeg","slide14.jpg","132521"
"15","image15.jpeg","slide15.jpg","33275"
"16","image16.png","slide16.png","177948"
"17","image17.png","slide17.png","521239"
"18","image18.png","slide18.png","675396"
"19","image19.png","slide19.png","285651"
"20","image20.png","slide20.png","159282"
"21","image21.png","slide21.png","178416"
"22","image22.png","slide22.png","357017"
"23","image23.png","slide23.png","397890"
"24","image24.png","slide24.png","252088"
"25","image25.png","slide25.png","87227"
"26","image26.png","slide26.png","488714"
"27","image27.png","slide27.png","119515"
"28","image28.png","slide28.png","177738"
"29","image29.jpeg","slide29.jpg","36537"
"30","image30.jpeg","slide30.jpg","40588"
"31","image31.jpeg","slide31.jpg","39223"
"32","image32.png","slide32.png","286044"
"33","image33.jpeg","slide33.jpg","49411"
"34","image34.jpeg","slide34.jpg","48991"
"35","image35.jpeg","slide35.jpg","41582"
"36","image36.jpeg","slide36.jpg","145353"
"37","image37.png","slide37.png","235296"
"38","image38.png","slide38.png","220242"
"39","image39.png","slide39.png","227042"
"40","image40.png","slide40.png","190965"
"41","image41.png","slide41.png","245451"
"42","image42.png","slide42.png","292908"
"43","image43.png","slide43.png","205289"
"44","image44.png","slide44.png","228963"
"45","image45.png","slide45.png","238295"
"46","image46.png","slide46.png","214434"
"47","image47.png","slide47.png","202021"
"48","image48.png","slide48.png","213768"
"49","image49.png","slide49.png","332665"
"50","image50.jpeg","slide50.jpg","24822"
"51","image51.jpeg","slide51.jpg","33346"
"52","image52.jpeg","slide52.jpg","17959"
"53","image53.jpeg","slide53.jpg","20217"
"54","image54.jpeg","slide54.jpg","36278"
"55","image55.jpeg","slide55.jpg","41805"
"56","image56.jpeg","slide56.jpg","47858"
"57","image57.png","slide57.png","78891"
"58","image58.jpeg","slide58.jpg","49191"
"59","image59.jpeg","slide59.jpg","51836"
"60","image60.png","slide60.png","114483"
"61","image61.jpeg","slide61.jpg","59108"
"62","image62.png","slide62.png","23872"
"63","image63.jpeg","slide63.jpg","52427"
"64","image64.jpeg","slide64.jpg","44031"
"65","image65.png","slide65.png","42881"
"66","image66.jpeg","slide66.jpg","57832"
"67","image67.png","slide67.png","101566"
"68","image68.png","slide68.png","111592"
"69","image69.png","slide69.png","114109"
"70","image70.png","slide70.png","86989"
"71","image71.png","slide71.png","83552"
"72","image72.png","slide72.png","193363"
"73","image73.png","slide73.png","158140"
